[ 2025-04-18 14:25:26,166 ] 20 root - INFO - Initiate the data ingestion
[ 2025-04-18 14:25:29,366 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-04-18 14:25:29,366 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-04-18 14:25:29,366 ] 75 root - INFO - Exporting train and test file path.
[ 2025-04-18 14:25:29,412 ] 84 root - INFO - Exported train and test file path.
[ 2025-04-18 14:25:29,412 ] 22 root - INFO - Data Initiation Completed
[ 2025-04-18 14:25:29,419 ] 26 root - INFO - Initiate the data Validation
[ 2025-04-18 14:25:29,435 ] 32 root - INFO - Required number of columns:2
[ 2025-04-18 14:25:29,435 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-18 14:25:29,435 ] 32 root - INFO - Required number of columns:2
[ 2025-04-18 14:25:29,435 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-18 14:25:29,536 ] 28 root - INFO - data Validation Completed
[ 2025-04-18 14:25:29,536 ] 31 root - INFO - data Transformation started
[ 2025-04-18 14:25:29,536 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-04-18 14:25:29,536 ] 65 root - INFO - Starting data transformation
[ 2025-04-18 14:25:29,552 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-04-18 14:25:29,552 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-04-18 14:25:29,565 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-18 14:25:29,567 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-18 14:25:29,568 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-18 14:25:29,570 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-18 14:25:29,571 ] 35 root - INFO - data Transformation completed
[ 2025-04-18 14:25:29,571 ] 37 root - INFO - Model Training sstared
