[ 2025-04-18 13:04:57,177 ] 17 root - INFO - Initiate the data ingestion
[ 2025-04-18 13:05:00,563 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-04-18 13:05:00,564 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-04-18 13:05:00,564 ] 75 root - INFO - Exporting train and test file path.
[ 2025-04-18 13:05:00,615 ] 84 root - INFO - Exported train and test file path.
[ 2025-04-18 13:05:00,616 ] 19 root - INFO - Data Initiation Completed
[ 2025-04-18 13:05:00,623 ] 23 root - INFO - Initiate the data Validation
[ 2025-04-18 13:05:00,640 ] 32 root - INFO - Required number of columns:2
[ 2025-04-18 13:05:00,640 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-18 13:05:00,640 ] 32 root - INFO - Required number of columns:2
[ 2025-04-18 13:05:00,640 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-18 13:05:00,771 ] 25 root - INFO - data Validation Completed
