[ 2025-04-18 13:29:12,563 ] 17 root - INFO - Initiate the data ingestion
[ 2025-04-18 13:29:16,059 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-04-18 13:29:16,060 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-04-18 13:29:16,062 ] 75 root - INFO - Exporting train and test file path.
[ 2025-04-18 13:29:16,130 ] 84 root - INFO - Exported train and test file path.
[ 2025-04-18 13:29:16,131 ] 19 root - INFO - Data Initiation Completed
[ 2025-04-18 13:29:16,140 ] 23 root - INFO - Initiate the data Validation
[ 2025-04-18 13:29:16,169 ] 32 root - INFO - Required number of columns:2
[ 2025-04-18 13:29:16,169 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-18 13:29:16,169 ] 32 root - INFO - Required number of columns:2
[ 2025-04-18 13:29:16,169 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-18 13:29:16,387 ] 25 root - INFO - data Validation Completed
