[ 2025-04-18 10:46:42,242 ] 20 root - INFO - Initiate the data ingestion
[ 2025-04-18 10:46:46,403 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-04-18 10:46:46,403 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-04-18 10:46:46,403 ] 75 root - INFO - Exporting train and test file path.
[ 2025-04-18 10:46:46,466 ] 84 root - INFO - Exported train and test file path.
[ 2025-04-18 10:46:46,466 ] 22 root - INFO - Data Initiation Completed
[ 2025-04-18 10:46:46,481 ] 26 root - INFO - Initiate the data Validation
[ 2025-04-18 10:46:46,509 ] 32 root - INFO - Required number of columns:2
[ 2025-04-18 10:46:46,509 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-18 10:46:46,509 ] 32 root - INFO - Required number of columns:2
[ 2025-04-18 10:46:46,509 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-18 10:46:46,705 ] 28 root - INFO - data Validation Completed
