[ 2025-04-18 16:14:22,018 ] 20 root - INFO - Initiate the data ingestion
[ 2025-04-18 16:14:25,840 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-04-18 16:14:25,840 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-04-18 16:14:25,841 ] 75 root - INFO - Exporting train and test file path.
[ 2025-04-18 16:14:25,896 ] 84 root - INFO - Exported train and test file path.
[ 2025-04-18 16:14:25,896 ] 22 root - INFO - Data Initiation Completed
[ 2025-04-18 16:14:25,904 ] 26 root - INFO - Initiate the data Validation
[ 2025-04-18 16:14:25,929 ] 32 root - INFO - Required number of columns:2
[ 2025-04-18 16:14:25,929 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-18 16:14:25,929 ] 32 root - INFO - Required number of columns:2
[ 2025-04-18 16:14:25,929 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-18 16:14:26,085 ] 28 root - INFO - data Validation Completed
[ 2025-04-18 16:14:26,086 ] 31 root - INFO - data Transformation started
[ 2025-04-18 16:14:26,086 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-04-18 16:14:26,086 ] 65 root - INFO - Starting data transformation
[ 2025-04-18 16:14:26,110 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-04-18 16:14:26,110 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-04-18 16:14:26,127 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-18 16:14:26,131 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-18 16:14:26,131 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-18 16:14:26,134 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-18 16:14:26,136 ] 35 root - INFO - data Transformation completed
[ 2025-04-18 16:14:26,136 ] 37 root - INFO - Model Training stared
[ 2025-04-18 16:18:07,031 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-18 16:18:07,032 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-18 16:18:07,032 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-18 16:18:07,089 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-18 16:18:07,089 ] 141 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_18_2025_16_14_18\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9915373765867419, precision_score=0.9887482419127989, recall_score=0.9943422913719944), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9733715690290864, precision_score=0.9635036496350365, recall_score=0.9834437086092715))
[ 2025-04-18 16:18:07,093 ] 42 root - INFO - Model Training artifact created
