[ 2025-04-18 14:15:26,324 ] 20 root - INFO - Initiate the data ingestion
[ 2025-04-18 14:15:31,637 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-04-18 14:15:31,637 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-04-18 14:15:31,638 ] 75 root - INFO - Exporting train and test file path.
[ 2025-04-18 14:15:31,759 ] 84 root - INFO - Exported train and test file path.
[ 2025-04-18 14:15:31,759 ] 22 root - INFO - Data Initiation Completed
[ 2025-04-18 14:15:31,769 ] 26 root - INFO - Initiate the data Validation
[ 2025-04-18 14:15:31,797 ] 32 root - INFO - Required number of columns:2
[ 2025-04-18 14:15:31,798 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-18 14:15:31,798 ] 32 root - INFO - Required number of columns:2
[ 2025-04-18 14:15:31,798 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-18 14:15:31,966 ] 28 root - INFO - data Validation Completed
[ 2025-04-18 14:15:31,966 ] 31 root - INFO - data Transformation started
[ 2025-04-18 14:15:31,966 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-04-18 14:15:31,966 ] 65 root - INFO - Starting data transformation
[ 2025-04-18 14:15:31,991 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-04-18 14:15:31,991 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-04-18 14:15:32,010 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-18 14:15:32,013 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-18 14:15:32,013 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-04-18 14:15:32,016 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-04-18 14:15:32,018 ] 35 root - INFO - data Transformation completed
[ 2025-04-18 14:15:32,018 ] 37 root - INFO - Model Training sstared
